cedula;nombre;apellido;direccion;telefono;correo;activo
897483594;juan felipe;agudelo tabares;Cr 13 N 8-13;3158243203;juanfelipeagudelotabares@gmail.com.co;true
3676697938;maily tatiana;bedoya ceballos;Cll 5 N 1-40;3214450566;mailytatianabedoyaceballos@gmail.com.co;true
1593476738;jhon larry;cardona rios;Cr 77 N 47-87;3061425311;jhonlarrycardonarios@gmail.com.co;true
5096537086;laura sofia;carmona martinez;Cll 22 N 85-48;3056340661;laurasofiacarmonamartinez@gmail.com.co;true
466790604;juan jose;castano castano;Cr 84 N 96-31;3043712285;juanjosecastanocastano@gmail.com.co;true
7687511752;jean paul;ceballos granada;Cll 4 N 32-18;3064985487;jeanpaulceballosgranada@gmail.com.co;true
5623844187;yuri alejandra;ciro giraldo;Cr 97 N 83-66;3113585057;yurialejandracirogiraldo@gmail.com.co;true
2596955641;madelein ;cuervo murillo;Cll 21 N 54-51;3083052409;madeleincuervomurillo@gmail.com.co;true
7488978917;juan david;diaz valencia;Cr 65 N 99-75;3088101937;juandaviddiazvalencia@gmail.com.co;true
2569236641;juan jose;escobar hernandez;Cll 92 N 83-49;3122755375;juanjoseescobarhernandez@gmail.com.co;true
