nit;nombre;apellido;direccion;telefono;correo;activo
1081941379;laura sofia;gallego lopez;Cr 88 N 50-55;3097051176;laurasofiagallegolopez@gmail.com.co;true
5750025747;jeison esmith;gomez velasquez;Cll 19 N 38-53;3055371433;jeisonesmithgomezvelasquez@gmail.com.co;true
6112436511;simon ;grajales restrepo;Cr 52 N 8-17;3077001410;simongrajalesrestrepo@gmail.com.co;true
1677565999;juan camilo;herrera hernandez;Cll 25 N 52-27;3104448731;juancamiloherrerahernandez@gmail.com.co;true
6023585274;juan esteban;largo munoz;Cr 11 N 24-26;3061660722;juanestebanlargomunoz@gmail.com.co;true
8374181011;juana valentina;lopez franco;Cll 21 N 30-83;3116532555;juanavalentinalopezfranco@gmail.com.co;true
2443065146;arles stiven;lopez herrera;Cr 47 N 52-11;3063337746;arlesstivenlopezherrera@gmail.com.co;true
2460565792;sandra milena;machado cardenas;Cll 70 N 45-22;3001274712;sandramilenamachadocardenas@gmail.com.co;true
3561993511;esneider ;montoya cano;Cr 44 N 16-10;3150436861;esneidermontoyacano@gmail.com.co;true
3059451317;miguel angel;montoya pulido;Cll 90 N 91-18;3012925390;miguelangelmontoyapulido@gmail.com.co;true
